# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932920.977 [PERF] loops=40 hz=39.5 loop_ms avg=12.56 max=42.01 splines=40 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=52.4% viz=off
1786932921.978 [PERF] loops=37 hz=37.0 loop_ms avg=14.22 max=58.13 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=49.0% viz=off
1786932923.033 [PERF] loops=38 hz=36.0 loop_ms avg=16.81 max=58.18 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=46.4% viz=off
1786932924.100 [PERF] loops=37 hz=34.7 loop_ms avg=17.96 max=73.16 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=41.3% viz=off
1786932925.169 [PERF] loops=35 hz=32.7 loop_ms avg=18.92 max=76.33 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=39.2% viz=off
1786932926.223 [PERF] loops=36 hz=34.2 loop_ms avg=18.77 max=64.63 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=40.8% viz=off
1786932927.227 [PERF] loops=37 hz=36.8 loop_ms avg=16.47 max=66.77 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=46.8% viz=off
1786932928.245 [PERF] loops=33 hz=32.4 loop_ms avg=19.76 max=76.56 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=40.3% viz=off
1786932929.281 [PERF] loops=36 hz=34.7 loop_ms avg=16.37 max=55.36 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=4.8 cpu=48.3% viz=off
1786932930.372 [PERF] loops=38 hz=34.8 loop_ms avg=16.39 max=94.56 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.6 cpu=47.7% viz=off
1786932931.386 [PERF] loops=32 hz=31.5 loop_ms avg=20.28 max=81.66 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=42.4% viz=off
1786932932.659 [PERF] loops=39 hz=30.6 loop_ms avg=22.40 max=282.86 splines=39 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=46.4% viz=off
1786932933.666 [PERF] loops=36 hz=35.8 loop_ms avg=16.83 max=69.76 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=45.7% viz=off
1786932934.671 [PERF] loops=29 hz=28.8 loop_ms avg=23.65 max=103.44 splines=29 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=40.8% viz=off
1786932935.681 [PERF] loops=32 hz=31.7 loop_ms avg=19.46 max=99.46 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=46.5% viz=off
1786932936.688 [PERF] loops=38 hz=37.8 loop_ms avg=9.67 max=40.42 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=40.7% viz=off
1786932937.704 [PERF] loops=39 hz=38.4 loop_ms avg=11.44 max=77.90 splines=39 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=39.4% viz=off
1786932938.709 [PERF] loops=32 hz=31.8 loop_ms avg=19.63 max=75.22 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=43.8% viz=off
1786932939.723 [PERF] loops=34 hz=33.6 loop_ms avg=18.20 max=66.55 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=42.4% viz=off
1786932940.751 [PERF] loops=35 hz=34.0 loop_ms avg=18.29 max=60.94 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=42.8% viz=off
1786932941.760 [PERF] loops=33 hz=32.7 loop_ms avg=19.26 max=74.92 splines=33 blended=0 samples=107.8 danger=1 mrk_hz=5.0 cpu=43.6% viz=off
1786932942.765 [PERF] loops=34 hz=33.8 loop_ms avg=16.18 max=69.34 splines=34 blended=0 samples=123.4 danger=0 mrk_hz=5.0 cpu=47.7% viz=off
